X,Y,Z
458261.73,3640141.98,16.69
458261.11,3640142.0,17.93
458260.83,3640142.01,18.82
458260.43,3640142.02,18.85
458260.28,3640142.02,17.990000000000002
458260.05,3640142.02,16.59
458259.99,3640142.03,18.64
458259.55,3640142.04,18.72
458259.32,3640142.04,17.39
458258.56,3640142.07,22.64
458258.1,3640142.08,22.48
458257.37,3640142.1,22.830000000000002
458256.98,3640142.11,23.02
458256.78,3640142.11,21.830000000000002
458296.66000000003,3640141.45,5.57
458296.41000000003,3640141.45,3.87
458296.24,3640141.46,5.9
458295.95,3640141.46,3.92
458295.85,3640141.47,6.05
458296.41000000003,3640141.5,15.450000000000001
458296.32,3640141.51,17.66
458295.99,3640141.51,15.46
458296.34,3640141.53,20.79
458295.85,3640141.52,17.52
458296.32,3640141.54,23.490000000000002
458295.94,3640141.54,21.01
458295.44,3640141.53,17.56
458296.18,3640141.55,25.47
458295.48,3640141.55,20.79
458295.99,3640141.56,27.01
458295.83,3640141.56,25.97
458295.14,3640141.56,21.34
458295.0,3640141.56,20.42
458295.67,3640141.57,27.55
458295.49,3640141.57,26.38
458295.21,3640141.57,24.53
458295.0,3640141.57,23.13
458295.27,3640141.59,27.92
458295.14,3640141.58,27.07
458294.9,3640141.6,28.36
458294.51,3640141.59,25.75
458294.15,3640141.6,26.17
458290.83,3640141.6,7.47
458290.4,3640141.61,7.63
458290.16000000003,3640141.62,8.98
458289.92,3640141.62,7.47
458290.09,3640141.63,11.31
458289.76,3640141.63,9.15
458289.49,3640141.63,7.42
458291.26,3640141.65,21.57
458291.08,3640141.65,20.34
458290.84,3640141.66,21.52
458290.66000000003,3640141.66,20.39
458289.54,3640141.66,13.22
458289.24,3640141.65,11.28
458290.62,3640141.67,22.93
458290.47,3640141.67,21.94
458290.24,3640141.67,20.47
458288.8,3640141.66,11.23
458290.78,3640141.69,26.68
458290.75,3640141.7,29.23
458290.39,3640141.7,27.0
458290.31,3640141.7,26.45
458288.68,3640141.69,16.03
458290.69,3640141.71,31.69
458289.89,3640141.71,26.62
458289.62,3640141.71,24.85
458288.96,3640141.7,20.72
458290.28,3640141.72,31.76
458289.58,3640141.72,27.26
458290.01,3640141.72,32.65
458289.38,3640141.73,28.64
458289.19,3640141.74,30.34
458288.93,3640141.74,28.650000000000002
458288.64,3640141.74,26.84
458287.63,3640141.74,20.32
458287.6,3640141.75,23.02
458287.31,3640141.75,21.19
458287.16000000003,3640141.76,22.85
458287.6,3640141.77,28.37
458286.68,3640141.77,22.64
458286.43,3640141.77,21.05
458285.86,3640141.76,17.47
458286.21,3640141.78,22.54
458286.03,3640141.78,21.38
458285.4,3640141.78,17.490000000000002
458285.62,3640141.79,21.75
458284.95,3640141.79,17.490000000000002
458285.22,3640141.8,21.76
458284.56,3640141.8,17.6
458284.45,3640141.8,16.9
458284.2,3640141.8,15.26
458284.78,3640141.81,21.63
458284.01,3640141.81,16.77
458283.81,3640141.81,15.49
458284.42,3640141.82,21.88
458284.22,3640141.82,20.61
458283.72,3640141.82,17.44
458283.4,3640141.82,15.51
458284.06,3640141.83,22.25
458284.04,3640141.84,24.830000000000002
458283.64,3640141.84,22.400000000000002
458281.03,3640141.83,6.73
458283.75,3640141.85,25.63
458283.63,3640141.85,24.92
458283.23,3640141.86,25.19
458280.47,3640141.85,8.64
458283.24,3640141.88,27.85
458282.79,3640141.87,25.07
458280.02,3640141.86,8.5
458279.62,3640141.86,6.04
458282.82,3640141.89,27.830000000000002
458282.43,3640141.88,25.490000000000002
458282.35,3640141.88,25.060000000000002
458280.52,3640141.88,14.24
458282.4,3640141.9,28.03
458282.01,3640141.9,25.86
458281.87,3640141.89,25.02
458282.13,3640141.91,29.16
458281.42,3640141.91,25.05
458281.58,3640141.92,28.54
458281.02,3640141.92,25.3
458280.82,3640141.91,24.09
458281.11,3640141.93,28.61
458280.96,3640141.94,30.400000000000002
458280.74,3640141.94,29.03
458280.61,3640141.94,28.240000000000002
458280.78,3640141.94,32.06
458280.62,3640141.94,31.05
458280.43,3640141.95,29.91
458280.18,3640141.95,28.35
458280.42,3640141.95,32.26
458280.01,3640141.96,29.75
458279.63,3640141.96,27.38
458280.23,3640141.96,33.61
458279.94,3640141.96,31.84
458279.78,3640141.97,33.3
458279.5,3640141.97,31.59
458279.4,3640141.98,33.53
458277.06,3640142.0,22.3
458276.58,3640142.0,19.93
458278.23,3640142.0,31.490000000000002
458277.7,3640142.01,28.27
458276.62,3640142.01,22.63
458277.86,3640142.01,32.03
458277.46,3640142.02,29.73
458277.23,3640142.02,28.47
458277.18,3640142.02,30.59
458277.06,3640142.03,29.95
458275.82,3640142.03,22.67
458276.8,3640142.03,30.84
458276.43,3640142.04,29.04
458275.48,3640142.04,23.01
458276.18,3640142.05,29.990000000000002
458276.04,3640142.05,29.07
458275.59,3640142.05,26.310000000000002
458275.01,3640142.05,22.87
458275.87,3640142.05,30.7
458275.68,3640142.06,29.580000000000002
458275.57,3640142.06,28.900000000000002
458275.2,3640142.06,26.66
458275.34,3640142.06,29.95
458274.88,3640142.07,27.240000000000002
458274.29,3640142.07,23.84
458274.94,3640142.08,30.27
458274.57,3640142.08,28.13
458274.18,3640142.08,25.87
458274.44,3640142.09,29.96
458274.16000000003,3640142.1,28.32
458274.1,3640142.1,30.650000000000002
458273.92,3640142.1,29.6
458273.75,3640142.11,30.990000000000002
458273.62,3640142.11,30.19
458273.43,3640142.12,29.080000000000002
458270.75,3640142.11,12.98
458270.08,3640142.11,8.85
458270.33,3640142.12,12.84
458269.69,3640142.12,9.01
458269.9,3640142.13,12.69
458269.33,3640142.13,9.34
458270.22,3640142.14,17.080000000000002
458269.51,3640142.14,12.870000000000001
458269.3,3640142.14,11.61
458268.95,3640142.14,9.56
458269.78,3640142.15,17.05
458269.13,3640142.15,13.27
458268.49,3640142.15,9.450000000000001
458270.65,3640142.17,24.69
458269.45,3640142.16,17.54
458268.69,3640142.16,13.01
458270.24,3640142.18,24.7
458269.03,3640142.18,17.6
458268.87,3640142.18,16.68
458269.8,3640142.19,24.5
458268.73,3640142.19,18.23
458269.57,3640142.2,25.59
458269.33,3640142.2,24.25
458268.64,3640142.2,20.150000000000002
458268.42,3640142.2,18.85
458267.93,3640142.2,16.05
458269.13,3640142.21,25.62
458268.96,3640142.21,24.59
458268.71,3640142.22,25.73
458268.29,3640142.23,25.57
458266.34,3640142.23,14.13
458266.02,3640142.23,12.21
458265.72,3640142.23,10.46
458267.86,3640142.24,25.67
458267.7,3640142.24,24.75
458267.42,3640142.25,25.560000000000002
458265.05,3640142.25,11.63
458266.88,3640142.26,25.01
458266.68,3640142.26,23.85
458266.47,3640142.26,22.67
458266.26,3640142.27,23.75
458266.05,3640142.27,22.48
458264.16000000003,3640142.27,11.11
458265.97,3640142.28,24.35
458265.83,3640142.28,23.56
458265.67,3640142.28,22.57
458265.43,3640142.29,23.51
458265.03,3640142.3,23.400000000000002
458262.69,3640142.3,9.66
458264.63,3640142.31,23.45
458264.41000000003,3640142.31,22.07
458263.69,3640142.32,20.23
458263.41000000003,3640142.34,21.14
458263.26,3640142.33,20.27
458263.01,3640142.35,21.150000000000002
458262.2,3640142.34,16.55
458262.58,3640142.36,21.06
458261.79,3640142.35,16.44
458261.38,3640142.37,16.45
458261.27,3640142.38,18.35
458261.1,3640142.38,17.39
458260.78,3640142.39,17.92
458260.65,3640142.39,17.28
458260.49,3640142.4,18.89
458260.34,3640142.4,18.02
458260.2,3640142.41,19.62
458259.6,3640142.42,18.72
458258.09,3640142.47,21.51
458257.77,3640142.47,21.96
458257.49,3640142.48,22.88
458257.28,3640142.48,21.76
458257.1,3640142.49,22.96
458256.91000000003,3640142.49,21.85
458296.38,3640141.83,5.74
458296.11,3640141.83,3.86
458296.54,3640141.87,15.52
458296.4,3640141.88,17.42
458296.12,3640141.88,15.530000000000001
458296.0,3640141.89,17.740000000000002
458296.64,3640141.91,25.05
458296.23,3640141.91,22.26
458296.12,3640141.91,21.52
458296.32,3640141.92,25.64
458295.67,3640141.92,21.17
458296.11,3640141.94,27.25
458295.97,3640141.93,26.26
458295.74,3640141.93,24.72
458295.76,3640141.95,27.78
458295.49,3640141.95,26.04
458295.27,3640141.94,24.61
458295.3,3640141.96,27.86
458295.1,3640141.96,26.490000000000002
458294.9,3640141.97,27.810000000000002
458294.64,3640141.97,26.060000000000002
458290.88,3640141.97,6.95
458290.75,3640141.98,8.93
458290.56,3640141.98,7.65
458290.47,3640141.98,7.1000000000000005
458290.29,3640141.98,5.98
458290.33,3640141.99,9.09
458290.12,3640141.99,7.75
458289.9,3640141.99,6.25
458289.89,3640142.0,8.99
458289.54,3640142.0,6.72
458291.27,3640142.02,20.81
458291.15,3640142.02,20.04
458289.47,3640142.01,9.18
458291.09,3640142.03,22.39
458290.92,3640142.03,21.34
458290.79,3640142.03,20.5
458291.36,3640142.05,26.88
458290.77,3640142.04,23.11
458290.52,3640142.04,21.5
458291.33,3640142.06,29.42
458291.01,3640142.06,27.46
458290.85,3640142.07,29.34
458290.09,3640142.08,27.13
458288.45,3640142.07,16.65
458289.81,3640142.09,28.22
458289.69,3640142.09,27.43
458289.42,3640142.09,25.76
458289.98,3640142.1,32.03
458289.71,3640142.1,30.330000000000002
458289.57,3640142.1,29.41
458289.47,3640142.1,28.8
458289.29,3640142.11,30.54
458289.16000000003,3640142.11,29.75
458288.73,3640142.12,29.63
458288.3,3640142.12,26.93
458287.61,3640142.12,22.43
458287.47,3640142.12,21.54
